id,subscribe_pred,subscribe_prob
22501,0,0.07
22502,0,0.15
22503,0,0.01
22504,0,0.06
22505,0,0.09
22506,0,0.04
22507,0,0.09
22508,0,0.06
22509,0,0.02
22510,0,0.0
22511,0,0.03
22512,0,0.1
22513,0,0.01
22514,1,0.46
22515,1,0.39
22516,0,0.0
22517,0,0.01
22518,0,0.0
22519,0,0.01
22520,0,0.17
22521,1,0.55
22522,0,0.07
22523,0,0.13
22524,1,0.37
22525,0,0.03
22526,1,0.22
22527,1,0.22
22528,0,0.08
22529,0,0.16
22530,0,0.11
22531,1,0.41
22532,0,0.05
22533,0,0.12
22534,0,0.0
22535,0,0.01
22536,0,0.06
22537,0,0.19
22538,1,0.45
22539,1,0.25
22540,0,0.16
22541,0,0.05
22542,0,0.12
22543,1,0.23
22544,1,0.29
22545,0,0.08
22546,0,0.08
22547,0,0.05
22548,0,0.0
22549,1,0.3
22550,0,0.07
22551,0,0.09
22552,0,0.0
22553,0,0.13
22554,1,0.32
22555,1,0.37
22556,0,0.04
22557,0,0.04
22558,0,0.04
22559,0,0.13
22560,1,0.24
22561,0,0.01
22562,0,0.04
22563,1,0.38
22564,0,0.14
22565,0,0.02
22566,0,0.09
22567,1,0.28
22568,0,0.08
22569,0,0.04
22570,0,0.0
22571,0,0.0
22572,1,0.45
22573,0,0.12
22574,1,0.3
22575,0,0.04
22576,0,0.1
22577,0,0.18
22578,1,0.31
22579,1,0.33
22580,0,0.01
22581,0,0.02
22582,0,0.05
22583,0,0.05
22584,1,0.37
22585,0,0.19
22586,0,0.03
22587,1,0.23
22588,0,0.02
22589,0,0.02
22590,0,0.02
22591,0,0.01
22592,1,0.37
22593,0,0.15
22594,0,0.01
22595,0,0.17
22596,0,0.06
22597,1,0.22
22598,0,0.06
22599,0,0.0
22600,0,0.05
22601,0,0.01
22602,1,0.52
22603,0,0.0
22604,0,0.11
22605,1,0.35
22606,0,0.04
22607,0,0.0
22608,0,0.02
22609,1,0.46
22610,0,0.01
22611,1,0.25
22612,0,0.01
22613,0,0.07
22614,0,0.08
22615,0,0.0
22616,1,0.37
22617,0,0.04
22618,0,0.0
22619,0,0.09
22620,1,0.2
22621,0,0.01
22622,0,0.04
22623,0,0.07
22624,0,0.0
22625,0,0.03
22626,0,0.15
22627,0,0.0
22628,0,0.08
22629,1,0.33
22630,1,0.32
22631,0,0.12
22632,0,0.08
22633,1,0.3
22634,0,0.06
22635,1,0.35
22636,0,0.0
22637,1,0.42
22638,0,0.14
22639,0,0.08
22640,1,0.38
22641,1,0.41
22642,0,0.06
22643,1,0.39
22644,0,0.18
22645,0,0.08
22646,0,0.04
22647,0,0.0
22648,0,0.06
22649,1,0.29
22650,0,0.01
22651,0,0.11
22652,0,0.02
22653,1,0.29
22654,0,0.06
22655,0,0.02
22656,1,0.22
22657,0,0.11
22658,0,0.04
22659,0,0.12
22660,0,0.02
22661,0,0.07
22662,0,0.16
22663,0,0.07
22664,0,0.14
22665,0,0.01
22666,0,0.01
22667,0,0.08
22668,0,0.16
22669,0,0.11
22670,1,0.22
22671,0,0.1
22672,0,0.01
22673,0,0.01
22674,0,0.08
22675,1,0.21
22676,0,0.12
22677,0,0.0
22678,0,0.05
22679,0,0.12
22680,0,0.12
22681,0,0.02
22682,1,0.27
22683,0,0.01
22684,1,0.33
22685,0,0.11
22686,0,0.13
22687,0,0.06
22688,0,0.08
22689,0,0.14
22690,1,0.39
22691,0,0.02
22692,0,0.05
22693,0,0.1
22694,0,0.0
22695,0,0.07
22696,0,0.01
22697,0,0.06
22698,0,0.05
22699,0,0.01
22700,0,0.09
22701,0,0.08
22702,0,0.13
22703,0,0.01
22704,0,0.19
22705,0,0.1
22706,0,0.1
22707,0,0.0
22708,1,0.27
22709,0,0.0
22710,1,0.33
22711,0,0.02
22712,0,0.01
22713,0,0.0
22714,0,0.12
22715,0,0.0
22716,0,0.01
22717,1,0.45
22718,0,0.19
22719,0,0.13
22720,0,0.0
22721,0,0.03
22722,0,0.02
22723,0,0.03
22724,0,0.04
22725,0,0.0
22726,0,0.02
22727,1,0.2
22728,0,0.08
22729,0,0.01
22730,0,0.01
22731,1,0.47
22732,0,0.13
22733,0,0.12
22734,0,0.0
22735,1,0.31
22736,0,0.15
22737,0,0.1
22738,0,0.11
22739,0,0.03
22740,0,0.08
22741,0,0.01
22742,0,0.09
22743,0,0.0
22744,0,0.19
22745,1,0.41
22746,0,0.05
22747,0,0.09
22748,1,0.56
22749,0,0.0
22750,0,0.05
22751,0,0.04
22752,0,0.01
22753,0,0.03
22754,0,0.0
22755,0,0.14
22756,0,0.14
22757,0,0.12
22758,1,0.35
22759,0,0.16
22760,0,0.05
22761,0,0.09
22762,0,0.04
22763,0,0.04
22764,0,0.13
22765,1,0.27
22766,0,0.01
22767,1,0.47
22768,0,0.07
22769,0,0.0
22770,0,0.05
22771,0,0.03
22772,0,0.01
22773,0,0.13
22774,0,0.15
22775,0,0.07
22776,0,0.08
22777,1,0.34
22778,1,0.45
22779,0,0.1
22780,0,0.01
22781,1,0.32
22782,0,0.04
22783,0,0.06
22784,1,0.27
22785,1,0.39
22786,1,0.32
22787,0,0.02
22788,0,0.09
22789,0,0.11
22790,0,0.0
22791,0,0.03
22792,0,0.13
22793,0,0.03
22794,0,0.01
22795,0,0.1
22796,0,0.16
22797,0,0.06
22798,0,0.05
22799,1,0.44
22800,0,0.06
